"","wl","temperature","value","hexvis"
"100",299,"1500",1.21632616072896e-07,"#4A1700"
"101",300,"1500",1.33125503000126e-07,"#4A1700"
"102",301,"1500",1.4560888920335e-07,"#4A1700"
"103",302,"1500",1.59159598738519e-07,"#4A1700"
"104",303,"1500",1.73859717547768e-07,"#4A1700"
"105",304,"1500",1.89796902672525e-07,"#4A1700"
"106",305,"1500",2.07064706300179e-07,"#4A1700"
"107",306,"1500",2.25762915166343e-07,"#4A1700"
"108",307,"1500",2.45997905843885e-07,"#4A1700"
"109",308,"1500",2.67883016458823e-07,"#4A1700"
"110",309,"1500",2.91538935381846e-07,"#4A1700"
"111",310,"1500",3.17094107452509e-07,"#4A1700"
"112",311,"1500",3.44685158301375e-07,"#4A1700"
"113",312,"1500",3.74457337343021e-07,"#4A1700"
"114",313,"1500",4.06564980020332e-07,"#4A1700"
"115",314,"1500",4.41171989887612e-07,"#4A1700"
"116",315,"1500",4.78452341126722e-07,"#4A1700"
"117",316,"1500",5.18590602096856e-07,"#4A1700"
"118",317,"1500",5.61782480524528e-07,"#4A1700"
"119",318,"1500",6.08235390945803e-07,"#4A1700"
"120",319,"1500",6.58169045018018e-07,"#4A1700"
"121",320,"1500",7.11816065322726e-07,"#4A1700"
"122",321,"1500",7.69422623286106e-07,"#4A1700"
"123",322,"1500",8.31249101846293e-07,"#4A1700"
"124",323,"1500",8.97570783500829e-07,"#4A1700"
"125",324,"1500",9.68678564369729e-07,"#4A1700"
"126",325,"1500",1.04487969491203e-06,"#4A1700"
"127",326,"1500",1.12649854793532e-06,"#4A1700"
"128",327,"1500",1.21387741453872e-06,"#4A1700"
"129",328,"1500",1.30737732863034e-06,"#4A1700"
"130",329,"1500",1.40737892066032e-06,"#4A1700"
"131",330,"1500",1.51428330120977e-06,"#4A1700"
"132",331,"1500",1.62851297507439e-06,"#4A1700"
"133",332,"1500",1.7505127864805e-06,"#4A1700"
"134",333,"1500",1.88075089606785e-06,"#4A1700"
"135",334,"1500",2.01971979027075e-06,"#4A1700"
"136",335,"1500",2.16793732372571e-06,"#4A1700"
"137",336,"1500",2.32594779532876e-06,"#4A1700"
"138",337,"1500",2.49432305856094e-06,"#4A1700"
"139",338,"1500",2.67366366669468e-06,"#4A1700"
"140",339,"1500",2.86460005348729e-06,"#4A1700"
"141",340,"1500",3.06779374996083e-06,"#4A1700"
"142",341,"1500",3.28393863785998e-06,"#4A1700"
"143",342,"1500",3.51376224037113e-06,"#4A1700"
"144",343,"1500",3.75802705067625e-06,"#4A1700"
"145",344,"1500",4.0175318989065e-06,"#4A1700"
"146",345,"1500",4.29311335804937e-06,"#4A1700"
"147",346,"1500",4.58564718935138e-06,"#4A1700"
"148",347,"1500",4.89604982774844e-06,"#4A1700"
"149",348,"1500",5.22527990784137e-06,"#4A1700"
"150",349,"1500",5.57433983092263e-06,"#4A1700"
"151",350,"1500",5.94427737354553e-06,"#4A1700"
"152",351,"1500",6.33618733811292e-06,"#4A1700"
"153",352,"1500",6.75121324594732e-06,"#4A1700"
"154",353,"1500",7.1905490732888e-06,"#4A1700"
"155",354,"1500",7.65544103065049e-06,"#4A1700"
